time_in_seconds	job1.mbps	job2.mbps	job3.mbps	job4.mbps
0	0.0	0.0	0.0	0.0
1	4822.0	0.0	0.0	0.0
2	15752.0	0.0	0.0	0.0
3	15469.0	0.0	0.0	0.0
4	17701.0	0.0	0.0	0.0
5	14727.0	0.0	0.0	0.0
6	17849.0	0.0	0.0	0.0
7	18658.0	0.0	0.0	0.0
8	17244.0	0.0	0.0	0.0
9	17718.0	0.0	0.0	0.0
10	19547.0	0.0	0.0	0.0
11	19413.0	0.0	0.0	0.0
12	20396.0	0.0	0.0	0.0
13	6388.0	2459.0	0.0	0.0
14	1899.0	4057.0	0.0	0.0
15	1340.0	2991.0	1051.0	0.0
16	948.0	1714.0	2711.0	0.0
17	1198.0	2354.0	3623.0	0.0
18	1263.0	2571.0	3785.0	0.0
19	1298.0	2541.0	2392.0	1706.0
20	1228.0	2415.0	1513.0	2242.0
21	1225.0	2412.0	1505.0	2264.0
22	1178.0	2403.0	1520.0	2239.0
23	1287.0	2468.0	1472.0	2265.0
24	1235.0	2573.0	1433.0	2347.0
25	1380.0	2737.0	1582.0	2670.0
26	1676.0	3259.0	1890.0	3084.0
27	1695.0	3455.0	2048.0	3156.0
28	1726.0	3526.0	2295.0	3209.0
29	1676.0	3588.0	2089.0	3308.0
30	1766.0	3643.0	2256.0	3254.0
31	2642.0	4866.0	3018.0	4203.0
32	2379.0	5043.0	3012.0	4459.0
33	2243.0	4491.0	2744.0	4050.0
34	2856.0	5465.0	3321.0	5438.0
35	3732.0	7193.0	4194.0	6848.0
36	3302.0	6979.0	4205.0	6092.0
37	3449.0	6856.0	4130.0	5960.0
38	2584.0	5178.0	3347.0	4288.0
39	2462.0	5118.0	2795.0	4718.0
40	3092.0	5949.0	3725.0	5662.0
41	3424.0	7070.0	4178.0	6293.0
42	3432.0	6829.0	4072.0	6358.0
43	3572.0	7318.0	4439.0	6336.0
44	3184.0	6166.0	3698.0	5209.0
45	2907.0	5707.0	3535.0	5178.0
46	2962.0	6048.0	3730.0	5624.0
47	3692.0	7032.0	4208.0	6414.0
48	3330.0	6921.0	4101.0	6132.0
49	3587.0	7181.0	4201.0	6820.0
50	3087.0	6755.0	3910.0	5349.0
51	2725.0	5350.0	3224.0	5061.0
52	3500.0	6677.0	4158.0	6250.0
53	3553.0	7322.0	4466.0	6423.0
54	3069.0	6146.0	3539.0	5535.0
55	3580.0	6727.0	3991.0	6188.0
56	2979.0	6236.0	3804.0	5110.0
57	3009.0	5769.0	3494.0	5475.0
58	3698.0	7287.0	4460.0	6785.0
59	3531.0	7220.0	4328.0	6548.0
60	2913.0	5951.0	3525.0	5033.0
61	3354.0	6362.0	3830.0	6021.0
62	3637.0	7470.0	4482.0	6156.0
63	2980.0	5980.0	3523.0	5478.0
64	3536.0	6953.0	4223.0	6512.0
65	3492.0	7107.0	4226.0	6372.0
66	2816.0	5903.0	3543.0	5122.0
67	3352.0	6348.0	3725.0	5900.0
68	3563.0	7470.0	4515.0	6479.0
69	3355.0	6762.0	4024.0	6239.0
70	3620.0	7324.0	4358.0	6491.0
71	3760.0	6075.0	3528.0	6045.0
72	17585.0	111.0	224.0	336.0
73	19514.0	0.0	0.0	0.0
74	20801.0	0.0	0.0	0.0
75	21044.0	0.0	0.0	0.0
76	20858.0	0.0	0.0	0.0
77	20776.0	0.0	0.0	0.0
78	20647.0	0.0	0.0	0.0
79	19913.0	0.0	0.0	0.0
80	20688.0	0.0	0.0	0.0
81	20497.0	0.0	0.0	0.0
82	21132.0	0.0	0.0	0.0
83	21694.0	0.0	0.0	0.0
84	21240.0	0.0	0.0	0.0
85	22165.0	0.0	0.0	0.0
86	22597.0	0.0	0.0	0.0
87	22095.0	0.0	0.0	0.0
88	21779.0	0.0	0.0	0.0
89	22836.0	0.0	0.0	0.0
90	23121.0	0.0	0.0	0.0
91	22909.0	0.0	0.0	0.0
92	22108.0	0.0	0.0	0.0
93	21977.0	0.0	0.0	0.0
94	21905.0	0.0	0.0	0.0
95	21406.0	0.0	0.0	0.0
96	21683.0	0.0	0.0	0.0
97	21864.0	0.0	0.0	0.0
98	21564.0	0.0	0.0	0.0
99	20736.0	0.0	0.0	0.0
100	20263.0	0.0	0.0	0.0
101	21330.0	0.0	0.0	0.0
102	21511.0	0.0	0.0	0.0
103	21791.0	0.0	0.0	0.0
104	21703.0	0.0	0.0	0.0
105	21285.0	0.0	0.0	0.0
106	20626.0	0.0	0.0	0.0
107	19981.0	0.0	0.0	0.0
108	21357.0	0.0	0.0	0.0
109	20870.0	0.0	0.0	0.0
110	20998.0	0.0	0.0	0.0
111	21819.0	0.0	0.0	0.0
112	21667.0	0.0	0.0	0.0
113	21817.0	0.0	0.0	0.0
114	21860.0	0.0	0.0	0.0
115	21883.0	0.0	0.0	0.0
116	21687.0	0.0	0.0	0.0
117	21606.0	0.0	0.0	0.0
118	21670.0	0.0	0.0	0.0
119	21068.0	0.0	0.0	0.0
