time_in_seconds	job1.mbps	job2.mbps	job3.mbps	job4.mbps
0	0.0	0.0	0.0	0.0
1	2526.0	0.0	0.0	0.0
2	9314.0	0.0	0.0	0.0
3	17595.0	0.0	0.0	0.0
4	14738.0	0.0	0.0	0.0
5	18067.0	0.0	0.0	0.0
6	17119.0	0.0	0.0	0.0
7	17736.0	0.0	0.0	0.0
8	18287.0	0.0	0.0	0.0
9	18428.0	0.0	0.0	0.0
10	18835.0	0.0	0.0	0.0
11	19097.0	0.0	0.0	0.0
12	19816.0	0.0	0.0	0.0
13	20353.0	0.0	0.0	0.0
14	19282.0	0.0	0.0	0.0
15	20878.0	0.0	0.0	0.0
16	20717.0	0.0	0.0	0.0
17	7837.0	2281.0	1759.0	0.0
18	1453.0	1527.0	2801.0	0.0
19	1389.0	1448.0	2877.0	0.0
20	1406.0	1495.0	2862.0	0.0
21	1368.0	1416.0	1887.0	871.0
22	1362.0	1376.0	1423.0	1547.0
23	1555.0	1530.0	1571.0	1619.0
24	1675.0	1679.0	1789.0	1774.0
25	1800.0	1854.0	1941.0	1965.0
26	1915.0	2025.0	1869.0	2008.0
27	2119.0	2295.0	2144.0	2278.0
28	2949.0	3107.0	2847.0	3034.0
29	3054.0	3158.0	3148.0	3136.0
30	3178.0	3081.0	3081.0	3177.0
31	3073.0	3056.0	3180.0	3178.0
32	2987.0	3109.0	3199.0	3157.0
33	3076.0	3111.0	3051.0	3107.0
34	3322.0	3687.0	3595.0	3115.0
35	5072.0	5400.0	5102.0	5243.0
36	5291.0	5413.0	5475.0	5322.0
37	5445.0	5438.0	5638.0	5531.0
38	5465.0	5522.0	5458.0	5518.0
39	4704.0	4287.0	4260.0	4586.0
40	3806.0	3974.0	3934.0	3842.0
41	4217.0	4558.0	4601.0	4037.0
42	4925.0	5102.0	5203.0	4948.0
43	5156.0	4882.0	4806.0	4959.0
44	4455.0	4319.0	4273.0	4521.0
45	4149.0	3992.0	3857.0	4007.0
46	3774.0	3622.0	3718.0	3799.0
47	3662.0	3855.0	3706.0	3808.0
48	4490.0	5001.0	4923.0	4711.0
49	5587.0	5239.0	5177.0	5035.0
50	4655.0	4349.0	4393.0	4520.0
51	4209.0	4112.0	4360.0	4329.0
52	4180.0	4219.0	4278.0	4353.0
53	3903.0	3738.0	3709.0	3777.0
54	3807.0	4005.0	3992.0	3883.0
55	5134.0	5322.0	5266.0	5405.0
56	4829.0	4767.0	4729.0	4636.0
57	4898.0	4737.0	4810.0	4487.0
58	4869.0	4905.0	5015.0	4972.0
59	5121.0	4875.0	4820.0	4977.0
60	4689.0	4557.0	4542.0	4597.0
61	4433.0	4808.0	4744.0	4795.0
62	5415.0	5400.0	5469.0	5734.0
63	5403.0	5535.0	5450.0	5239.0
64	5394.0	5098.0	4850.0	5141.0
65	5263.0	5200.0	5276.0	5280.0
66	5254.0	5328.0	5457.0	5349.0
67	5052.0	4886.0	4937.0	5146.0
68	4718.0	4952.0	4868.0	4979.0
69	4598.0	4544.0	4582.0	4643.0
70	5347.0	5310.0	5333.0	5180.0
71	4851.0	4992.0	4825.0	4785.0
72	5462.0	5456.0	5511.0	5549.0
73	5428.0	5345.0	5276.0	5367.0
74	15078.0	108.0	224.0	336.0
75	21990.0	0.0	0.0	0.0
76	22361.0	0.0	0.0	0.0
77	22613.0	0.0	0.0	0.0
78	21790.0	0.0	0.0	0.0
79	21925.0	0.0	0.0	0.0
80	21641.0	0.0	0.0	0.0
81	22025.0	0.0	0.0	0.0
82	21865.0	0.0	0.0	0.0
83	21781.0	0.0	0.0	0.0
84	21779.0	0.0	0.0	0.0
85	22191.0	0.0	0.0	0.0
86	22101.0	0.0	0.0	0.0
87	22112.0	0.0	0.0	0.0
88	22556.0	0.0	0.0	0.0
89	22363.0	0.0	0.0	0.0
90	21892.0	0.0	0.0	0.0
91	22283.0	0.0	0.0	0.0
92	22013.0	0.0	0.0	0.0
93	22187.0	0.0	0.0	0.0
94	22272.0	0.0	0.0	0.0
95	22403.0	0.0	0.0	0.0
96	22166.0	0.0	0.0	0.0
97	22148.0	0.0	0.0	0.0
98	22040.0	0.0	0.0	0.0
99	21809.0	0.0	0.0	0.0
100	21594.0	0.0	0.0	0.0
101	21745.0	0.0	0.0	0.0
102	22155.0	0.0	0.0	0.0
103	22024.0	0.0	0.0	0.0
104	21249.0	0.0	0.0	0.0
105	21556.0	0.0	0.0	0.0
106	20826.0	0.0	0.0	0.0
107	21149.0	0.0	0.0	0.0
108	21933.0	0.0	0.0	0.0
109	21536.0	0.0	0.0	0.0
110	21370.0	0.0	0.0	0.0
111	22206.0	0.0	0.0	0.0
112	21934.0	0.0	0.0	0.0
113	22676.0	0.0	0.0	0.0
114	22120.0	0.0	0.0	0.0
115	22608.0	0.0	0.0	0.0
116	22623.0	0.0	0.0	0.0
117	22985.0	0.0	0.0	0.0
118	22476.0	0.0	0.0	0.0
119	22764.0	0.0	0.0	0.0
