time_in_seconds	job1.mbps	job2.mbps	job3.mbps	job4.mbps	job5.mbps	job6.mbps	job7.mbps	job8.mbps
0	13635.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	16887.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	15585.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	17291.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	16941.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	17061.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	17561.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	18277.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	18646.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	17559.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	19317.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11	19788.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	18878.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	11547.0	0.0	0.0	0.0	0.0	1783.0	0.0	2424.0
14	7208.0	1487.0	0.0	0.0	0.0	1519.0	490.0	2456.0
15	7181.0	867.0	1162.0	631.0	1590.0	1101.0	957.0	1865.0
16	6750.0	842.0	1246.0	842.0	1691.0	1111.0	895.0	1749.0
17	7219.0	757.0	1089.0	830.0	1544.0	1114.0	968.0	1855.0
18	7561.0	813.0	1248.0	839.0	1749.0	1212.0	999.0	1731.0
19	8611.0	883.0	1366.0	858.0	1813.0	1345.0	1136.0	2278.0
20	8691.0	965.0	1501.0	965.0	2032.0	1344.0	1099.0	2183.0
21	9546.0	1016.0	1591.0	945.0	2038.0	1206.0	1236.0	2507.0
22	9831.0	1107.0	1657.0	1067.0	2200.0	1540.0	1294.0	2611.0
23	10004.0	1062.0	1689.0	1130.0	2260.0	1507.0	1249.0	2368.0
24	9605.0	1096.0	1640.0	1114.0	2172.0	1532.0	1204.0	2529.0
25	10231.0	1075.0	1530.0	1044.0	2263.0	1599.0	1290.0	2690.0
26	9475.0	1142.0	1671.0	1062.0	2419.0	1481.0	1243.0	2752.0
27	8438.0	1038.0	1569.0	1041.0	2231.0	1359.0	1087.0	2068.0
28	7718.0	933.0	1249.0	891.0	1976.0	1226.0	986.0	1997.0
29	7832.0	835.0	1385.0	871.0	1821.0	1014.0	1039.0	2076.0
30	8531.0	971.0	1459.0	940.0	1867.0	1356.0	1095.0	2282.0
31	8887.0	965.0	1450.0	979.0	1922.0	1393.0	1094.0	2299.0
32	9416.0	1002.0	1500.0	1006.0	2032.0	1519.0	1234.0	2274.0
33	9547.0	1024.0	1609.0	1118.0	2169.0	1565.0	1251.0	2451.0
34	9193.0	1096.0	1612.0	1059.0	2303.0	1354.0	1263.0	2388.0
35	9181.0	1014.0	1547.0	996.0	2124.0	1434.0	1230.0	2484.0
36	9108.0	979.0	1463.0	1024.0	2173.0	1404.0	1154.0	2417.0
37	9625.0	1061.0	1503.0	1015.0	2246.0	1314.0	1314.0	2420.0
38	9943.0	1071.0	1707.0	989.0	2319.0	1564.0	1283.0	2549.0
39	10231.0	1049.0	1656.0	1133.0	2407.0	1623.0	1351.0	2649.0
40	9958.0	1156.0	1690.0	1148.0	2186.0	1694.0	1306.0	2579.0
41	10295.0	1116.0	1635.0	1102.0	2318.0	1595.0	1345.0	2550.0
42	9336.0	1114.0	1665.0	1167.0	2270.0	1498.0	1162.0	2307.0
43	9605.0	1105.0	1624.0	1069.0	2305.0	1526.0	1248.0	2607.0
44	9351.0	1158.0	1671.0	1109.0	2323.0	1356.0	1213.0	2494.0
45	9348.0	1039.0	1541.0	1126.0	2252.0	1354.0	1213.0	2482.0
46	10171.0	1107.0	1520.0	1064.0	2200.0	1605.0	1285.0	2493.0
47	9994.0	1119.0	1750.0	1108.0	2299.0	1596.0	1312.0	2724.0
48	9882.0	1115.0	1765.0	999.0	2215.0	1624.0	1307.0	2704.0
49	9949.0	1096.0	1642.0	1085.0	2324.0	1618.0	1318.0	2597.0
50	10126.0	1030.0	1713.0	1137.0	2434.0	1600.0	1329.0	2441.0
51	9710.0	1160.0	1635.0	1119.0	2435.0	1360.0	1218.0	2577.0
52	9782.0	1097.0	1618.0	1131.0	2213.0	1515.0	1206.0	2701.0
53	9562.0	1106.0	1575.0	1073.0	2290.0	1542.0	1301.0	2699.0
54	9596.0	1104.0	1600.0	1149.0	2336.0	1514.0	1218.0	2457.0
55	8554.0	1086.0	1523.0	1091.0	2121.0	1385.0	1147.0	2216.0
56	8985.0	912.0	1391.0	941.0	1906.0	1387.0	1106.0	2290.0
57	9154.0	1028.0	1439.0	973.0	2206.0	1393.0	1129.0	2332.0
58	9553.0	1046.0	1640.0	1024.0	2083.0	1455.0	1195.0	2544.0
59	9902.0	1053.0	1645.0	1022.0	2258.0	1507.0	1331.0	2606.0
60	8899.0	1095.0	1595.0	1092.0	2365.0	1368.0	1184.0	2393.0
61	9271.0	962.0	1533.0	1027.0	2120.0	1418.0	1226.0	2470.0
62	9210.0	967.0	1535.0	1115.0	2126.0	1453.0	1192.0	2369.0
63	8961.0	1041.0	1600.0	1003.0	2143.0	1404.0	1140.0	2297.0
64	9253.0	996.0	1490.0	1021.0	1966.0	1435.0	1212.0	2280.0
65	9904.0	1101.0	1581.0	1060.0	2291.0	1579.0	1379.0	2567.0
66	10118.0	1083.0	1599.0	1135.0	2349.0	1488.0	1355.0	2696.0
67	9750.0	1026.0	1643.0	1107.0	2343.0	1435.0	1265.0	2444.0
68	10035.0	1120.0	1658.0	1039.0	2298.0	1572.0	1228.0	2593.0
69	9762.0	1055.0	1717.0	1090.0	2433.0	1562.0	1316.0	2499.0
70	9329.0	1194.0	1603.0	1042.0	2301.0	1495.0	1223.0	2505.0
71	9888.0	1047.0	1494.0	1111.0	2085.0	1654.0	1319.0	2677.0
72	9907.0	1108.0	1640.0	1087.0	2320.0	1580.0	1579.0	2426.0
73	10496.0	1127.0	1869.0	1188.0	2506.0	112.0	7192.0	104.0
74	19281.0	112.0	168.0	112.0	159.0	0.0	53.0	0.0
75	20856.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
76	20712.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
77	20873.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
78	21120.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
79	19470.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
80	19337.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
81	20146.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
82	19973.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
83	21740.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
84	21786.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
85	21499.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
86	22227.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
87	22218.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
88	22663.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
89	22831.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
90	22823.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
91	22172.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
92	22199.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
93	21488.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
94	21275.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
95	21790.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
96	21944.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
97	21798.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
98	21982.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
99	22198.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100	22125.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101	22040.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
102	22376.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
103	22096.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
104	22291.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
105	22353.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
106	22427.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
107	22246.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
108	21992.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
109	21785.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
110	22293.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
111	22425.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
112	22050.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
113	22112.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
114	22123.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
115	22449.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
116	21655.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
117	22678.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
118	22209.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
119	22004.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
