time_in_seconds	job1.mbps	job2.mbps
0	8178.0	0.0
1	12735.0	0.0
2	14351.0	0.0
3	14423.0	0.0
4	16970.0	0.0
5	16179.0	0.0
6	17384.0	0.0
7	17929.0	0.0
8	18056.0	0.0
9	19057.0	0.0
10	19569.0	0.0
11	19767.0	0.0
12	20088.0	0.0
13	19409.0	0.0
14	19743.0	0.0
15	14688.0	0.0
16	7994.0	3282.0
17	8381.0	7895.0
18	10111.0	8407.0
19	9442.0	9814.0
20	10144.0	9549.0
21	9669.0	10055.0
22	10060.0	9744.0
23	10397.0	10015.0
24	10017.0	10580.0
25	9595.0	9960.0
26	10504.0	9675.0
27	10301.0	10539.0
28	9844.0	10313.0
29	10053.0	9906.0
30	10060.0	9963.0
31	10323.0	10165.0
32	10459.0	10099.0
33	10422.0	10243.0
34	10173.0	10147.0
35	9383.0	9908.0
36	9420.0	9351.0
37	10083.0	9377.0
38	10064.0	10116.0
39	9993.0	9879.0
40	9972.0	10186.0
41	10345.0	10020.0
42	10575.0	10101.0
43	9793.0	10278.0
44	10143.0	9869.0
45	19473.0	10148.0
46	20351.0	48.0
47	20465.0	0.0
48	20982.0	0.0
49	20038.0	0.0
50	20105.0	0.0
51	20746.0	0.0
52	20446.0	0.0
53	20650.0	0.0
54	20700.0	0.0
55	20996.0	0.0
56	21388.0	0.0
57	21858.0	0.0
58	21443.0	0.0
59	21809.0	0.0
