time_in_seconds	job1.mbps	job2.mbps
0	6073.0	0.0
1	11858.0	0.0
2	13372.0	0.0
3	12843.0	0.0
4	15764.0	0.0
5	15551.0	0.0
6	16136.0	0.0
7	17807.0	0.0
8	17914.0	0.0
9	19078.0	0.0
10	19267.0	0.0
11	19085.0	0.0
12	19402.0	0.0
13	18886.0	0.0
14	19388.0	0.0
15	14088.0	3783.0
16	7945.0	8072.0
17	8815.0	8973.0
18	9389.0	9252.0
19	10111.0	10185.0
20	9550.0	9493.0
21	10066.0	10038.0
22	9859.0	9814.0
23	9973.0	9891.0
24	10117.0	10071.0
25	10237.0	10021.0
26	10288.0	10109.0
27	10080.0	10223.0
28	10409.0	10570.0
29	10325.0	10220.0
30	10577.0	10528.0
31	10818.0	10548.0
32	10550.0	10588.0
33	10358.0	10699.0
34	10681.0	10665.0
35	10412.0	10480.0
36	10172.0	10261.0
37	10823.0	10583.0
38	10735.0	10572.0
39	10303.0	10374.0
40	10418.0	10716.0
41	10169.0	10087.0
42	9975.0	10039.0
43	9391.0	9450.0
44	9476.0	9573.0
45	19237.0	48.0
46	19885.0	0.0
47	20305.0	0.0
48	19482.0	0.0
49	20251.0	0.0
50	21422.0	0.0
51	21015.0	0.0
52	21169.0	0.0
53	20747.0	0.0
54	21647.0	0.0
55	21714.0	0.0
56	21818.0	0.0
57	21694.0	0.0
58	21977.0	0.0
59	21807.0	0.0
