time_in_seconds	job1.mbps	job2.mbps
0	5665.0	0.0
1	12363.0	0.0
2	13234.0	0.0
3	14598.0	0.0
4	15079.0	0.0
5	16571.0	0.0
6	17969.0	0.0
7	17952.0	0.0
8	19196.0	0.0
9	18797.0	0.0
10	18931.0	0.0
11	18816.0	0.0
12	19375.0	0.0
13	19136.0	0.0
14	19413.0	0.0
15	15075.0	2935.0
16	12476.0	6448.0
17	11898.0	5861.0
18	12732.0	6313.0
19	11766.0	6146.0
20	12912.0	6464.0
21	12985.0	6498.0
22	12828.0	6270.0
23	13262.0	6814.0
24	13749.0	6734.0
25	13899.0	7058.0
26	13715.0	6901.0
27	14015.0	7092.0
28	12979.0	6434.0
29	13290.0	6810.0
30	13613.0	6646.0
31	14110.0	6987.0
32	13536.0	6859.0
33	14619.0	7255.0
34	13556.0	6608.0
35	14535.0	7085.0
36	13337.0	6750.0
37	13938.0	6819.0
38	13470.0	6793.0
39	13719.0	6854.0
40	13866.0	6952.0
41	13576.0	6585.0
42	14244.0	6991.0
43	13124.0	6551.0
44	14456.0	7232.0
45	20889.0	46.0
46	21525.0	0.0
47	21610.0	0.0
48	21852.0	0.0
49	22424.0	0.0
50	22026.0	0.0
51	21690.0	0.0
52	21499.0	0.0
53	21564.0	0.0
54	21502.0	0.0
55	21627.0	0.0
56	21287.0	0.0
57	21242.0	0.0
58	21541.0	0.0
59	21672.0	0.0
