time_in_seconds	job1.mbps	job2.mbps
0	2536.0	0.0
1	10342.0	0.0
2	17234.0	0.0
3	15216.0	0.0
4	18516.0	0.0
5	15565.0	0.0
6	19554.0	0.0
7	19237.0	0.0
8	18264.0	0.0
9	20083.0	0.0
10	19841.0	0.0
11	19161.0	0.0
12	20158.0	0.0
13	20501.0	0.0
14	20790.0	0.0
15	22461.0	0.0
16	17710.0	2129.0
17	4265.0	5456.0
18	8588.0	10110.0
19	9883.0	9578.0
20	9345.0	10510.0
21	10243.0	10247.0
22	9174.0	9420.0
23	9619.0	10172.0
24	9914.0	10197.0
25	9852.0	10438.0
26	8938.0	9882.0
27	8848.0	8864.0
28	8845.0	8817.0
29	8733.0	8677.0
30	8926.0	9080.0
31	8903.0	8822.0
32	8745.0	8801.0
33	8801.0	8908.0
34	8995.0	8837.0
35	8843.0	8873.0
36	8848.0	8784.0
37	8729.0	8681.0
38	8811.0	9071.0
39	8999.0	8815.0
40	8849.0	8870.0
41	8864.0	8873.0
42	8720.0	8602.0
43	8968.0	9071.0
44	8851.0	8845.0
45	13772.0	55.0
46	17681.0	0.0
47	17685.0	0.0
48	17692.0	0.0
49	17688.0	0.0
50	17680.0	0.0
51	17699.0	0.0
52	17674.0	0.0
53	17679.0	0.0
54	17700.0	0.0
55	17694.0	0.0
56	17672.0	0.0
57	17678.0	0.0
58	17702.0	0.0
59	17664.0	0.0
