time_in_seconds	job1.mbps	job2.mbps
0	0.0	0.0
1	4869.0	0.0
2	16490.0	0.0
3	14734.0	0.0
4	19086.0	0.0
5	18445.0	0.0
6	19060.0	0.0
7	19417.0	0.0
8	20272.0	0.0
9	21402.0	0.0
10	22053.0	0.0
11	21930.0	0.0
12	21892.0	0.0
13	21418.0	0.0
14	22021.0	0.0
15	21563.0	0.0
16	14020.0	2190.0
17	5699.0	5766.0
18	10295.0	10387.0
19	9792.0	9942.0
20	9528.0	9414.0
21	9487.0	9675.0
22	10612.0	10580.0
23	10057.0	9759.0
24	10286.0	10496.0
25	10768.0	10776.0
26	10226.0	10100.0
27	10368.0	10564.0
28	10440.0	10496.0
29	10649.0	10586.0
30	11071.0	11041.0
31	10732.0	10786.0
32	10968.0	11169.0
33	10409.0	10519.0
34	10682.0	10744.0
35	11329.0	11391.0
36	11022.0	11176.0
37	11105.0	11159.0
38	11136.0	10984.0
39	10605.0	10502.0
40	10972.0	11050.0
41	11127.0	11169.0
42	10617.0	10770.0
43	11142.0	11088.0
44	10770.0	10913.0
45	22202.0	54.0
46	22350.0	0.0
47	21652.0	0.0
48	22602.0	0.0
49	22171.0	0.0
50	21508.0	0.0
51	21395.0	0.0
52	21653.0	0.0
53	21870.0	0.0
54	22128.0	0.0
55	22214.0	0.0
56	22000.0	0.0
57	22452.0	0.0
58	22098.0	0.0
59	21858.0	0.0
