time_in_seconds	job1.mbps	job2.mbps	job3.mbps	job4.mbps	job5.mbps	job6.mbps	job7.mbps	job8.mbps
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	2593.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	10248.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	16497.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	16821.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	17239.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	15838.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	19004.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	18376.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	17620.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	17885.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11	20042.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	20267.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	5245.0	1809.0	0.0	0.0	0.0	593.0	0.0	909.0
14	936.0	1869.0	0.0	0.0	0.0	1409.0	0.0	1366.0
15	567.0	1022.0	792.0	0.0	398.0	1074.0	213.0	1091.0
16	381.0	808.0	1293.0	0.0	806.0	541.0	468.0	944.0
17	424.0	900.0	1204.0	0.0	834.0	546.0	479.0	927.0
18	376.0	816.0	1191.0	0.0	835.0	568.0	438.0	947.0
19	406.0	895.0	823.0	439.0	797.0	512.0	453.0	881.0
20	469.0	889.0	729.0	517.0	791.0	497.0	435.0	845.0
21	484.0	865.0	801.0	554.0	803.0	507.0	493.0	849.0
22	474.0	877.0	925.0	548.0	820.0	552.0	454.0	913.0
23	487.0	931.0	929.0	618.0	938.0	565.0	466.0	947.0
24	509.0	1034.0	934.0	616.0	972.0	666.0	518.0	1059.0
25	552.0	1195.0	1044.0	747.0	1068.0	671.0	577.0	1096.0
26	674.0	1309.0	1216.0	799.0	1132.0	763.0	646.0	1215.0
27	697.0	1362.0	1214.0	825.0	1251.0	772.0	612.0	1414.0
28	707.0	1531.0	1325.0	909.0	1296.0	800.0	678.0	1456.0
29	706.0	1575.0	1345.0	912.0	1339.0	860.0	714.0	1489.0
30	814.0	1736.0	1400.0	1032.0	1486.0	956.0	781.0	1579.0
31	1119.0	2304.0	1905.0	1306.0	1919.0	1204.0	931.0	2133.0
32	1404.0	3022.0	2750.0	1629.0	2676.0	1715.0	1316.0	2811.0
33	1602.0	3263.0	2946.0	1870.0	2996.0	1968.0	1610.0	3224.0
34	1628.0	3110.0	2879.0	1895.0	2939.0	1933.0	1571.0	3129.0
35	1462.0	2610.0	2578.0	1733.0	2475.0	1735.0	1546.0	2839.0
36	1279.0	2664.0	2311.0	1527.0	2360.0	1542.0	1352.0	2575.0
37	1630.0	3354.0	2695.0	1934.0	2859.0	1843.0	1400.0	2906.0
38	1753.0	3410.0	3154.0	2033.0	3164.0	2117.0	1661.0	3622.0
39	1402.0	2688.0	2485.0	1659.0	2475.0	1760.0	1658.0	2961.0
40	1417.0	2727.0	2485.0	1559.0	2565.0	1527.0	1305.0	2681.0
41	1279.0	2682.0	2430.0	1596.0	2369.0	1685.0	1391.0	2678.0
42	1257.0	2710.0	2379.0	1627.0	2480.0	1537.0	1334.0	2678.0
43	1628.0	3493.0	2804.0	1910.0	2957.0	1881.0	1420.0	2978.0
44	1861.0	3753.0	3246.0	2118.0	3245.0	2090.0	1881.0	3636.0
45	1591.0	3245.0	3098.0	1774.0	2807.0	2052.0	1837.0	3462.0
46	1363.0	2644.0	2601.0	1671.0	2455.0	1658.0	1469.0	2806.0
47	1316.0	2574.0	2354.0	1610.0	2373.0	1605.0	1288.0	2478.0
48	1337.0	2744.0	2403.0	1658.0	2416.0	1576.0	1342.0	2674.0
49	1597.0	3268.0	2758.0	1940.0	2819.0	1766.0	1462.0	3066.0
50	1821.0	3351.0	3071.0	2109.0	3238.0	2227.0	1788.0	3467.0
51	1578.0	3239.0	2936.0	1971.0	3001.0	2001.0	1538.0	3271.0
52	1504.0	2868.0	2778.0	1720.0	2621.0	1744.0	1570.0	3118.0
