time_in_seconds	job1.mbps	job2.mbps
0	7914.0	0.0
1	12209.0	0.0
2	14340.0	0.0
3	15277.0	0.0
4	16065.0	0.0
5	16235.0	0.0
6	18443.0	0.0
7	17676.0	0.0
8	18195.0	0.0
9	18023.0	0.0
10	18362.0	0.0
11	18812.0	0.0
12	19204.0	0.0
13	19326.0	0.0
14	19305.0	0.0
15	11859.0	5051.0
16	8291.0	8418.0
17	8822.0	8890.0
18	9765.0	9851.0
19	9303.0	9422.0
20	9132.0	9413.0
21	9582.0	9446.0
22	9640.0	9651.0
23	9738.0	9765.0
24	10291.0	10358.0
25	10387.0	10011.0
26	9730.0	9882.0
27	10125.0	10209.0
28	10083.0	10097.0
29	10325.0	10369.0
30	10509.0	10582.0
31	10651.0	10606.0
32	10716.0	10431.0
33	10803.0	10734.0
34	11010.0	10885.0
35	10670.0	10804.0
36	10682.0	10734.0
37	10604.0	10526.0
38	10438.0	10274.0
39	10251.0	10282.0
40	10620.0	10563.0
41	10600.0	10478.0
42	10605.0	10651.0
43	10681.0	10767.0
44	11016.0	10808.0
45	21358.0	48.0
46	21431.0	0.0
47	21913.0	0.0
48	22047.0	0.0
49	22083.0	0.0
50	22235.0	0.0
51	22292.0	0.0
52	22018.0	0.0
53	21493.0	0.0
54	21787.0	0.0
55	21214.0	0.0
56	21392.0	0.0
57	21642.0	0.0
58	22020.0	0.0
59	21829.0	0.0
