time_in_seconds	job1.mbps	job2.mbps
0	0.0	0.0
1	4805.0	0.0
2	14209.0	0.0
3	14629.0	0.0
4	12617.0	0.0
5	16290.0	0.0
6	13216.0	0.0
7	13920.0	0.0
8	16235.0	0.0
9	12676.0	0.0
10	15803.0	0.0
11	15418.0	0.0
12	14388.0	0.0
13	17019.0	0.0
14	14818.0	0.0
15	16145.0	0.0
16	10032.0	1920.0
17	4168.0	4967.0
18	7696.0	7722.0
19	8408.0	8323.0
20	8419.0	8435.0
21	8162.0	8208.0
22	7755.0	8014.0
23	8104.0	7878.0
24	8464.0	8438.0
25	8547.0	8465.0
26	8607.0	8620.0
27	8284.0	8275.0
28	8231.0	8028.0
29	8350.0	8244.0
30	8842.0	8826.0
31	8666.0	8656.0
32	8436.0	8361.0
33	8374.0	8334.0
34	8735.0	8758.0
35	8850.0	8802.0
36	8714.0	8769.0
37	8621.0	8571.0
38	8337.0	8350.0
39	8771.0	8786.0
40	8853.0	8843.0
41	8619.0	8569.0
42	8528.0	8545.0
43	8593.0	8582.0
44	8925.0	8837.0
45	16677.0	54.0
46	15813.0	0.0
47	17319.0	0.0
48	15502.0	0.0
49	16633.0	0.0
50	16077.0	0.0
51	15192.0	0.0
52	16993.0	0.0
53	14925.0	0.0
54	17006.0	0.0
55	15265.0	0.0
56	15629.0	0.0
57	16984.0	0.0
58	15087.0	0.0
59	17186.0	0.0
