time_in_seconds	job1.mbps	job2.mbps	job3.mbps
0	10729.0	0.0	0.0
1	16383.0	0.0	0.0
2	17267.0	0.0	0.0
3	16613.0	0.0	0.0
4	17241.0	0.0	0.0
5	16335.0	0.0	0.0
6	17611.0	0.0	0.0
7	17286.0	0.0	0.0
8	18310.0	0.0	0.0
9	18126.0	0.0	0.0
10	13000.0	4379.0	0.0
11	8348.0	8859.0	0.0
12	8674.0	8214.0	0.0
13	8510.0	8187.0	0.0
14	8405.0	8507.0	0.0
15	8699.0	7770.0	0.0
16	9077.0	8975.0	0.0
17	9004.0	9267.0	0.0
18	9429.0	9297.0	0.0
19	9487.0	9808.0	0.0
20	7044.0	6808.0	3479.0
21	6064.0	6912.0	8731.0
22	5981.0	6519.0	8652.0
23	5986.0	6561.0	8818.0
24	6022.0	6666.0	8887.0
25	5893.0	6483.0	8577.0
26	6231.0	6854.0	9351.0
27	6254.0	6615.0	9307.0
28	5885.0	6660.0	8870.0
29	6229.0	6712.0	9056.0
30	6078.0	6680.0	9317.0
31	6223.0	6843.0	9176.0
32	5809.0	6537.0	8445.0
33	6092.0	6564.0	8893.0
34	5935.0	6697.0	8893.0
35	6075.0	6706.0	8882.0
36	6102.0	6677.0	9076.0
37	6132.0	6657.0	8899.0
38	6142.0	6689.0	9142.0
39	6275.0	7302.0	9089.0
40	11230.0	10903.0	23.0
41	11270.0	11033.0	0.0
42	11310.0	11049.0	0.0
43	11220.0	11027.0	0.0
44	11352.0	11083.0	0.0
45	11327.0	11107.0	0.0
46	11306.0	11188.0	0.0
47	11139.0	11056.0	0.0
48	11152.0	11012.0	0.0
49	11059.0	11023.0	0.0
50	20280.0	24.0	0.0
51	21577.0	0.0	0.0
52	21425.0	0.0	0.0
53	22420.0	0.0	0.0
54	22833.0	0.0	0.0
55	22396.0	0.0	0.0
56	22950.0	0.0	0.0
57	22025.0	0.0	0.0
58	21850.0	0.0	0.0
59	22312.0	0.0	0.0
