time_in_seconds	job1.mbps	job2.mbps
0	0.0	0.0
1	3723.0	0.0
2	4728.0	0.0
3	4347.0	0.0
4	3631.0	0.0
5	3329.0	0.0
6	5426.0	0.0
7	11794.0	0.0
8	12085.0	0.0
9	11780.0	0.0
10	14181.0	0.0
11	12790.0	0.0
12	15958.0	0.0
13	19906.0	0.0
14	17991.0	0.0
15	20203.0	0.0
16	16416.0	0.0
17	7459.0	2295.0
18	5512.0	4943.0
19	9849.0	9608.0
20	8752.0	8360.0
21	9543.0	10019.0
22	9331.0	9045.0
23	9976.0	9476.0
24	9396.0	9917.0
25	8317.0	7866.0
26	11049.0	11083.0
27	7745.0	7937.0
28	10820.0	9998.0
29	8471.0	9347.0
30	10310.0	9166.0
31	10597.0	11056.0
32	9645.0	9253.0
33	10021.0	10461.0
34	10067.0	9921.0
35	10119.0	10430.0
36	9572.0	9567.0
37	10457.0	10553.0
38	9227.0	9094.0
39	10996.0	10996.0
40	9025.0	8931.0
41	10174.0	10081.0
42	9821.0	9969.0
43	9602.0	9393.0
44	10996.0	10738.0
45	9140.0	9461.0
46	12661.0	10458.0
47	18474.0	56.0
48	21975.0	0.0
49	18710.0	0.0
50	20086.0	0.0
51	18525.0	0.0
52	22571.0	0.0
53	17672.0	0.0
54	18218.0	0.0
55	21969.0	0.0
56	19233.0	0.0
57	20352.0	0.0
58	17051.0	0.0
59	21501.0	0.0
